NM,DATE(GAME),OPP,PITCHER,DEC,IP,BF,NP,H,HR,SO,R,ER,BB,IBB,HBP,AO,GO,ERA,CG,SHO,NBB,BS,NP2,S,SB,WP,BK,PO,A,DP,TP,E,PK,Unnamed: 34,DATE,GAME,WHIP
林煜清,05/06(35),中信兄弟,中繼,"
																								無
															
															
						",1.0,4.0,16.0,0,0,0,0,0,1,0.0,0.0,3.0,0.0,4.15,0.0,0.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
潘威倫,05/06(35),中信兄弟,先發,"
															敗
															
						",2.0,15.0,45.0,6,1,1,6,5,2,0.0,0.0,2.0,4.0,14.49,0.0,0.0,0.0,0.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
陳柏豪,05/06(35),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,5.0,16.0,2,0,1,0,0,0,0.0,0.0,1.0,1.0,32.40,0.0,0.0,0.0,0.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
彭識穎,05/06(35),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.6666659999999998,8.0,36.0,3,0,2,2,2,0,0.0,0.0,1.0,2.0,4.32,0.0,0.0,0.0,0.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
劉軒荅,05/06(35),中信兄弟,中繼,"
																								無
															
															
						",1.0,7.0,19.0,3,1,1,3,2,0,0.0,0.0,0.0,3.0,7.15,0.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
廖乙忠,05/06(35),統一7-ELEVEn,先發,"
															勝
															
						",6.333332999999999,30.0,104.0,9,2,2,6,6,2,0.0,1.0,6.0,10.0,7.71,0.0,0.0,0.0,0.0,104.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
鄭鈞仁,05/06(35),中信兄弟,中繼,"
																								無
															
															
						",1.0,7.0,26.0,4,0,0,2,2,0,0.0,0.0,2.0,1.0,7.45,0.0,0.0,0.0,0.0,26.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-06,35,
王尉永,05/07(36),樂天,中繼,"
																								中繼成功
															
															
						",0.6666660000000001,2.0,8.0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,5.62,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
黃子鵬,05/07(36),富邦,中繼,"
															勝
															
						",1.6666659999999998,6.0,18.0,1,0,3,0,0,0,0.0,0.0,1.0,1.0,3.86,0.0,0.0,0.0,1.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
尼寇力,05/07(36),富邦,先發,"
																								無
															
															
						",5.333332999999999,27.0,82.0,10,1,5,6,6,1,0.0,0.0,4.0,7.0,4.05,0.0,0.0,0.0,0.0,82.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
蘇俊璋,05/07(36),富邦,後援,"
																								無
															
															
						",1.0,4.0,13.0,1,0,1,0,0,0,0.0,0.0,0.0,2.0,2.84,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
陳禹勳,05/07(36),富邦,中繼,"
																								中繼成功
															
															
						",1.0,6.0,28.0,1,0,2,0,0,1,0.0,1.0,0.0,1.0,5.87,0.0,0.0,0.0,0.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
范玉禹,05/07(36),樂天,中繼,"
																								無
															
															
						",0.33333300000000005,10.0,43.0,8,0,0,7,7,1,0.0,0.0,1.0,0.0,15.83,0.0,0.0,0.0,0.0,43.0,29.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
林晨樺,05/07(36),樂天,中繼,"
																								無
															
															
						",2.6666660000000006,11.0,35.0,3,0,2,1,1,0,0.0,0.0,4.0,2.0,2.79,0.0,0.0,0.0,0.0,35.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
林羿豪,05/07(36),樂天,中繼,"
																								無
															
															
						",1.0,5.0,21.0,1,0,0,0,0,1,0.0,0.0,1.0,2.0,1.04,0.0,0.0,0.0,0.0,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
羅國華,05/07(36),樂天,中繼,"
															敗
															
						",0.0,2.0,7.0,2,0,0,2,2,0,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
伍鐸,05/07(36),樂天,先發,"
																								無
															
															
						",2.6666660000000006,16.0,58.0,8,0,1,5,5,0,0.0,0.0,3.0,4.0,9.35,0.0,0.0,0.0,0.0,58.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-07,36,
劉昱言,05/08(37),中信兄弟,中繼,"
																								無
															
															
						",0.0,2.0,9.0,1,0,0,2,2,1,0.0,0.0,0.0,0.0,∞,0.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
林航,05/08(38),富邦,中繼,"
																								無
															
															
						",0.33333300000000005,4.0,7.0,3,0,0,2,2,0,0.0,0.0,0.0,1.0,9.72,0.0,0.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
江國謙,05/08(37),中信兄弟,後援,"
																								無
															
															
						",1.0,5.0,27.0,1,1,2,2,2,1,0.0,0.0,0.0,1.0,9.39,0.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
黃竣彥,05/08(38),富邦,中繼,"
																								無
															
															
						",1.3333330000000003,8.0,34.0,4,0,1,2,0,0,0.0,0.0,1.0,2.0,4.50,0.0,0.0,0.0,0.0,34.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
費爾本,05/08(38),富邦,先發,"
																								無
															
															
						",5.0,18.0,77.0,2,1,6,1,1,2,0.0,0.0,2.0,6.0,5.54,0.0,0.0,0.0,0.0,77.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
卡本特,05/08(37),中信兄弟,先發,"
															敗
															
						",7.0,28.0,104.0,6,0,7,2,2,1,0.0,1.0,6.0,7.0,2.42,0.0,0.0,0.0,0.0,104.0,71.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
吳俊偉,05/08(37),樂天,中繼,"
																								中繼成功
															
															
						",1.0,4.0,11.0,0,0,0,0,0,1,0.0,0.0,0.0,3.0,4.66,0.0,0.0,0.0,0.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
王尉永,05/08(38),統一7-ELEVEn,中繼,"
																								無
															
															
						",0.33333300000000005,4.0,15.0,2,0,1,3,3,1,0.0,0.0,0.0,0.0,8.64,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
陳鴻文,05/08(38),統一7-ELEVEn,後援,"
																								救援成功
															
															
						",1.6666659999999998,6.0,18.0,1,1,1,1,1,0,0.0,0.0,4.0,0.0,2.61,0.0,0.0,0.0,0.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
蔡齊哲,05/08(37),樂天,中繼,"
																								中繼成功
															
															
						",1.0,3.0,13.0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,2.13,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
李振昌,05/08(37),樂天,後援,"
																								無
															
															
						",1.0,6.0,28.0,2,1,2,3,3,1,0.0,0.0,1.0,0.0,6.97,0.0,0.0,0.0,0.0,28.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
陳仕朋,05/08(38),統一7-ELEVEn,先發,"
															勝
															
						",7.0,28.0,104.0,5,0,7,2,2,3,0.0,0.0,7.0,6.0,4.07,0.0,0.0,0.0,0.0,104.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
林煜清,05/08(38),富邦,中繼,"
															敗
															
						",0.33333300000000005,3.0,13.0,0,0,0,2,2,2,0.0,0.0,0.0,1.0,7.71,0.0,0.0,0.0,1.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
米蘭達,05/08(37),樂天,先發,"
															勝
															
						",6.0,27.0,108.0,8,0,5,1,1,3,0.0,0.0,7.0,4.0,1.97,0.0,0.0,0.0,0.0,108.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,37,
劉軒荅,05/08(38),富邦,後援,"
																								無
															
															
						",1.0,5.0,23.0,0,0,0,0,0,1,0.0,1.0,3.0,0.0,6.57,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-08,38,
吳俊偉,05/09(39),樂天,中繼,"
																								無
															
															
						",0.6666660000000001,5.0,18.0,2,0,2,0,0,0,1.0,0.0,0.0,0.0,4.35,0.0,0.0,0.0,0.0,18.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
王躍霖,05/09(39),中信兄弟,後援,"
																								救援成功
															
															
						",2.0,7.0,26.0,1,0,1,0,0,0,0.0,0.0,3.0,2.0,3.27,0.0,0.0,0.0,0.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
黃子鵬,05/09(39),中信兄弟,中繼,"
																								中繼成功
															
															
						",1.0,6.0,23.0,2,0,0,0,0,0,0.0,0.0,3.0,1.0,3.48,0.0,0.0,0.0,0.0,23.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
陳柏豪,05/09(39),樂天,中繼,"
																								無
															
															
						",3.0,9.0,48.0,0,0,3,0,0,1,0.0,0.0,2.0,3.0,11.57,0.0,0.0,0.0,0.0,48.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
陳韻文,05/09(40),富邦,後援,"
																								無
															
															
						",1.0,4.0,22.0,0,0,2,0,0,1,0.0,0.0,1.0,0.0,1.00,0.0,0.0,0.0,0.0,22.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
江國豪,05/09(40),統一7-ELEVEn,先發,"
															勝
															
						",8.0,28.0,110.0,6,1,4,2,2,1,0.0,0.0,7.0,10.0,5.92,0.0,0.0,0.0,0.0,110.0,69.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
林羿豪,05/09(40),統一7-ELEVEn,中繼,"
																								無
															
															
						",0.0,3.0,13.0,2,0,0,2,2,1,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
謝榮豪,05/09(39),樂天,中繼,"
																								無
															
															
						",1.0,3.0,8.0,1,0,0,1,1,0,0.0,0.0,0.0,2.0,3.52,0.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
陳鴻文,05/09(40),統一7-ELEVEn,後援,"
																								救援成功
															
															
						",1.0,3.0,8.0,0,0,1,0,0,0,0.0,0.0,2.0,0.0,2.38,0.0,0.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
霸能,05/09(39),中信兄弟,先發,"
															勝
															
						",6.0,25.0,90.0,6,0,4,3,3,2,0.0,1.0,3.0,9.0,4.28,0.0,0.0,0.0,0.0,90.0,54.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
羅傑斯,05/09(39),樂天,先發,"
															敗
															
						",2.0,17.0,60.0,5,0,1,5,4,4,0.0,2.0,1.0,4.0,7.79,0.0,0.0,0.0,0.0,60.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
傅于剛,05/09(40),富邦,中繼,"
																								無
															
															
						",1.0,3.0,12.0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,3.00,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
鄭凱文,05/09(39),樂天,中繼,"
																								無
															
															
						",1.3333330000000003,7.0,26.0,0,0,0,0,0,1,0.0,1.0,1.0,4.0,6.75,0.0,0.0,0.0,0.0,26.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
羅里奇,05/09(40),富邦,先發,"
															敗
															
						",5.0,25.0,77.0,10,2,2,7,7,0,0.0,0.0,5.0,8.0,12.38,0.0,0.0,0.0,0.0,77.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
彭識穎,05/09(39),樂天,後援,"
																								無
															
															
						",1.0,3.0,10.0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,3.86,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,39,
鄭鈞仁,05/09(40),富邦,中繼,"
																								無
															
															
						",1.0,5.0,21.0,1,0,0,0,0,0,0.0,1.0,3.0,0.0,6.75,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-09,40,
王凱程,05/10(41),樂天,中繼,"
																								無
															
															
						",0.6666660000000001,3.0,10.0,0,0,0,1,0,0,0.0,0.0,0.0,3.0,0.00,0.0,0.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
黃子鵬,05/10(41),中信兄弟,中繼,"
																								中繼成功
															
															
						",0.33333300000000005,3.0,8.0,2,0,0,1,0,0,0.0,0.0,0.0,1.0,3.38,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
陳禹勳,05/10(41),中信兄弟,中繼,"
																								中繼成功
															
															
						",1.0,3.0,10.0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,5.19,0.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
謝榮豪,05/10(41),樂天,中繼,"
																								無
															
															
						",0.33333300000000005,3.0,6.0,1,1,0,1,1,1,0.0,0.0,1.0,0.0,4.50,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
羅國華,05/10(42),統一7-ELEVEn,中繼,"
																								無
															
															
						",2.0,7.0,25.0,2,0,0,0,0,2,0.0,0.0,3.0,0.0,4.82,0.0,0.0,0.0,0.0,25.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
施子謙,05/10(42),富邦,先發,"
															勝
															
						",6.0,24.0,81.0,6,1,3,2,2,0,0.0,0.0,6.0,9.0,4.09,0.0,0.0,0.0,0.0,81.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
游霆崴,05/10(42),統一7-ELEVEn,先發,"
															敗
															
						",4.0,21.0,70.0,8,1,3,7,7,1,0.0,1.0,5.0,3.0,9.00,0.0,0.0,0.0,0.0,70.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
林煜清,05/10(42),富邦,中繼,"
																								無
															
															
						",1.0,3.0,11.0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,6.35,0.0,0.0,0.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
歐書誠,05/10(42),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.3333330000000003,5.0,18.0,1,0,1,0,0,0,0.0,0.0,2.0,1.0,0.00,0.0,0.0,0.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
林晨樺,05/10(42),統一7-ELEVEn,中繼,"
																								無
															
															
						",0.6666660000000001,6.0,17.0,4,0,0,2,2,0,0.0,0.0,0.0,2.0,4.35,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
德保拉,05/10(41),樂天,先發,"
															敗
															
						",5.0,22.0,103.0,3,0,6,2,2,3,0.0,1.0,4.0,5.0,6.44,0.0,0.0,0.0,0.0,103.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
彭識穎,05/10(41),樂天,中繼,"
																								無
															
															
						",1.0,4.0,16.0,1,1,0,1,1,0,0.0,0.0,3.0,0.0,4.35,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
王躍霖,05/10(41),中信兄弟,後援,"
																								救援成功
															
															
						",1.0,3.0,15.0,1,0,1,0,0,0,0.0,0.0,1.0,0.0,3.00,0.0,0.0,0.0,0.0,15.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
蔡齊哲,05/10(41),樂天,後援,"
																								無
															
															
						",2.0,6.0,22.0,0,0,3,0,0,0,0.0,0.0,2.0,1.0,1.84,0.0,0.0,0.0,0.0,22.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
劉軒荅,05/10(42),富邦,中繼,"
																								無
															
															
						",1.0,4.0,12.0,1,0,1,0,0,0,0.0,0.0,1.0,1.0,6.07,0.0,0.0,0.0,0.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
王溢正,05/10(41),中信兄弟,先發,"
															勝
															
						",6.666666000000001,28.0,94.0,6,0,5,3,3,4,0.0,0.0,8.0,5.0,3.12,0.0,0.0,0.0,0.0,94.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,41,
王尉永,05/10(42),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,5.0,12.0,2,0,0,1,1,0,0.0,0.0,2.0,1.0,8.68,0.0,0.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
傅于剛,05/10(42),富邦,後援,"
																								無
															
															
						",1.0,3.0,14.0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,2.25,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-10,42,
劉軒荅,05/12(43),樂天,中繼,"
																								無
															
															
						",2.3333330000000005,12.0,39.0,3,0,1,1,1,2,0.0,0.0,2.0,4.0,5.74,0.0,0.0,0.0,0.0,39.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
鄭鈞仁,05/12(43),樂天,後援,"
																								無
															
															
						",1.0,6.0,28.0,2,1,1,3,3,2,0.0,0.0,1.0,0.0,8.49,0.0,0.0,0.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
林航,05/12(43),樂天,中繼,"
																								無
															
															
						",1.0,7.0,27.0,4,0,1,3,3,0,0.0,0.0,0.0,2.0,11.57,0.0,0.0,0.0,0.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
吳丞哲,05/12(43),統一7-ELEVEn,中繼,"
																								無
															
															
						",0.6666660000000001,6.0,19.0,3,0,1,4,0,0,0.0,0.0,1.0,1.0,11.57,0.0,0.0,0.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
翁瑋均,05/12(43),統一7-ELEVEn,先發,"
															勝
															
						",5.0,28.0,108.0,12,0,3,4,4,1,0.0,0.0,6.0,6.0,6.14,0.0,0.0,0.0,0.0,108.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
江國謙,05/12(43),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.0,6.0,23.0,1,0,0,1,1,1,0.0,1.0,2.0,1.0,9.35,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
洛奇,05/12(43),樂天,先發,"
															敗
															
						",2.6666660000000006,18.0,64.0,6,0,0,9,6,4,0.0,0.0,5.0,3.0,11.35,0.0,0.0,0.0,0.0,64.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
蘇俊璋,05/12(43),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,4.0,15.0,1,1,1,1,1,0,0.0,0.0,2.0,0.0,3.68,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
林煜清,05/12(43),樂天,中繼,"
																								無
															
															
						",1.0,4.0,21.0,1,1,1,1,1,0,0.0,0.0,0.0,2.0,6.75,0.0,0.0,0.0,0.0,21.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
黃子鵬,05/12(43),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.3333330000000003,6.0,20.0,1,0,2,0,0,1,0.0,0.0,0.0,2.0,3.00,0.0,0.0,0.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
黃竣彥,05/12(43),樂天,中繼,"
																								無
															
															
						",1.0,5.0,13.0,2,0,0,0,0,0,0.0,0.0,3.0,0.0,4.20,0.0,0.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-12,43,
傅于剛,05/13(44),樂天,中繼,"
																								無
															
															
						",0.0,5.0,23.0,5,0,0,4,4,0,0.0,0.0,0.0,0.0,11.25,0.0,0.0,0.0,0.0,23.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
鄭凱文,05/13(45),富邦,中繼,"
																								無
															
															
						",0.33333300000000005,1.0,2.0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,6.52,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
彭識穎,05/13(45),富邦,後援,"
																								無
															
															
						",0.33333300000000005,3.0,5.0,2,0,0,0,0,0,0.0,0.0,1.0,0.0,4.22,0.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
劉昱言,05/13(44),統一7-ELEVEn,中繼,"
																								無
															
															
						",2.0,8.0,32.0,1,0,1,0,0,1,0.0,0.0,5.0,0.0,9.00,0.0,0.0,0.0,0.0,32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
王凱程,05/13(45),富邦,中繼,"
																								無
															
															
						",0.6666660000000001,6.0,28.0,2,0,1,4,4,2,0.0,0.0,0.0,1.0,27.00,0.0,0.0,0.0,0.0,28.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
鄭鈞仁,05/13(44),樂天,中繼,"
																								無
															
															
						",1.0,3.0,9.0,1,0,0,0,0,0,0.0,0.0,0.0,2.0,7.82,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
游朝惟,05/13(44),統一7-ELEVEn,中繼,"
																								無
															
															
						",1.6666659999999998,14.0,52.0,7,0,2,7,4,1,0.0,0.0,4.0,0.0,21.60,0.0,0.0,0.0,0.0,52.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
江國謙,05/13(44),統一7-ELEVEn,後援,"
																								無
															
															
						",1.0,3.0,9.0,0,0,0,0,0,0,0.0,0.0,3.0,0.0,8.38,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
王尉永,05/13(45),中信兄弟,中繼,"
																								中繼成功
															
															
						",1.0,5.0,23.0,1,0,0,0,0,1,0.0,0.0,0.0,3.0,7.84,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
黃竣彥,05/13(44),樂天,中繼,"
																								無
															
															
						",2.0,5.0,23.0,0,0,0,0,0,1,0.0,0.0,0.0,4.0,3.71,0.0,0.0,0.0,0.0,23.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
蔡齊哲,05/13(45),富邦,中繼,"
																								無
															
															
						",1.0,6.0,13.0,2,0,1,1,1,0,1.0,0.0,0.0,2.0,2.30,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
江辰晏,05/13(44),樂天,先發,"
															勝
															
						",5.0,25.0,89.0,9,2,4,6,6,2,0.0,0.0,6.0,4.0,7.20,0.0,0.0,0.0,0.0,89.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
林羿豪,05/13(45),中信兄弟,中繼,"
																								中繼成功
															
															
						",1.0,5.0,23.0,1,0,2,0,0,0,0.0,1.0,1.0,0.0,2.79,0.0,0.0,0.0,0.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
陳韻文,05/13(44),樂天,後援,"
																								無
															
															
						",1.0,7.0,31.0,1,0,1,1,1,1,0.0,2.0,0.0,2.0,1.80,0.0,0.0,0.0,0.0,31.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,44,
陳柏豪,05/13(45),富邦,中繼,"
																								無
															
															
						",0.33333300000000005,3.0,13.0,1,0,1,0,0,1,0.0,0.0,0.0,0.0,10.80,0.0,0.0,0.0,0.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2020-05-13,45,
